input_text	target_text	Flag
Analytical Modelling	Analytical Modelling	Hard skill
Analytical Models	Analytical Models Specialization	Hard skill
Analytical Reasoning	Analytical Reasoning	Hard skill
Analytical Skills A Very Competent Writer	Analytical Skills And Writing Ability	Hard skill
Analytical Techniques	Analytical Techniques Specialization	Hard skill
Analytics And Data Insights	Data Insights Analysis	Hard skill
Analytique	Analytics Specialization	Hard skill
Analytiques Autonomie	Self-Service Analysis	Hard skill
Analyze And Fix Bugs Software	Analysis And Fix Software Bugs	Hard skill
Analyzer	Analyzer Specialization	Hard skill
Analyzing Complex Data	Complex Data Analysis	Hard skill
Analyzing Problems	Problems Analysis	Hard skill
Anatella	Anatella Specialization	Hard skill
Anatomie Du Corps Humain	Anatomy Human Body	Hard skill
Anchor Handling	Anchor Handling	Hard skill
Ancible	Ancible Software	Hard skill
Ancien Acronyme De Simple Object Access Protocolancien Acronyme De Simple Object Access Protocol	Simple Object Access Protocol (Soap)	Hard skill
Ancillary	Ancillary Services Management	Hard skill
Andamios	Scaffolds	Hard skill
Andoid	Android Developement	Hard skill
Andr	Android Developement	Hard skill
Andragogie	Andragogy	Hard skill
Andriod	Android Developement	Hard skill
Androi D	Android Developement	Hard skill
Androi De	Android Developement	Hard skill
Android	Android Developement	Hard skill
Android App Inventor	Android Developement	Hard skill
Android Architectures	Android Architectures	Hard skill
Android Codenameone Html Css Php Javascript Jquery Symphony Sql Plsql	Android Codenameone Html Css Php Javascript Jquery Symphony Sql Pl/Sql	Hard skill
Android Developement	Android Developement	Hard skill
Android Developer	Android Developement	Hard skill
Android Development	Android Developement	Hard skill
Android Developpement	Android Developement	Hard skill
Android Entwicklung	Android Entwicklung	Hard skill
Android Gelis Tirme	Android Software Development	Hard skill
Android Java Application	Java Android Developement	Hard skill
Android Jetpack	Android Jetpack Library	Hard skill
Android Koin	Android Koin Library	Hard skill
Android Kotlin	Android Kotlin Programming Language	Hard skill
Android Lint	Android Lint Library	Hard skill
Android Linux Kernel	Linux Kernel Engineering	Hard skill
Android Mobile	Mobile Android/Ios Developement	Hard skill
Android Mobile Technologies	Android Mobile Engineering	Hard skill
Android Net Formation Css Html	Android Netbeans(Ide) Css Html	Hard skill
Android Network Troubleshooting	Android Network Troubleshooting	Hard skill
Android Oreo	Android Oreo Expertise	Hard skill
Android Os	Android Os Expertise	Hard skill
Android Sdk	Android Sdk Expertise	Hard skill
Android Sdk Java	Android Sdk Java Progrmming Language	Hard skill
Android Stdio	Android Studio Ide	Hard skill
Android Studi	Android Studio Ide	Hard skill
Android Studio Developper	Android Studio Ide	Hard skill
Android Support	Android Support Engineering	Hard skill
Android Symfony Framework Bootstrap Vb Net Talend Oracle	Android, Symfony, Bootstrap, Vb.Net, Talend, And Oracle	Hard skill
Android Things	Android Things Specialization	Hard skill
Android Tv	Android Tv Expertise	Hard skill
Android Windows Phone Blackberry J Ee Android Windows Phone Blackberry J Ee	Android Windows Phone Blackberry Java Enterprise Edition	Hard skill
Android X	Android X Development	Hard skill
Androidx	Android X Development	Hard skill
Andromda	Andromda Platform	Hard skill
Anevia Flamingo	Anevia Flamingo Software	Hard skill
Anevia Toucan	Anevia Toucan Software	Hard skill
Anfis	Anfis Specialization	Hard skill
Angel Investing	Angel Investing	Hard skill
Angel Investors	Angel Investing	Hard skill
Anglais	Professor Of English	Hard skill
Anglais Amedeast	AmâˆšÂ© East English	Hard skill
Anglais B On Niveau	English B Level	Hard skill
Anglais Courant	Professor Of English	Hard skill
Anglais D Affaires	Business English Teacher	Hard skill
Anglais Des Affaires	Business English Teacher	Hard skill
Anglais E Crit Lu Parle E	English - Writing , Reading , Speaking , Listening	Hard skill
Anglais En Seconde Langue	Teaching English As A Second Language	Hard skill
Anglais English	Professor Of English	Hard skill
Anglais Et Italien	Italian Teacher	Hard skill
Anglais Interme Diaire	Intermediate Representative	Hard skill
Anglais Intermerdiaire	Intermediate Representative	Hard skill
Anglais Juridique	Legal English	Hard skill
Anglais Professionnel	Professional English	Hard skill
Anglais Professionnel Courant Spe Cialisation En Langue Des Affairesanglais Professionnel Courant Spe Cialisation En Langue Des Affaires	English Language	Hard skill
Anglais Scientifique	Scientific English	Hard skill
Angle Grinder	Angle Grinder Tool	Hard skill
Angual	Angular Material	Hard skill
Anguar	Angular Material	Hard skill
Anguar	Angularjs Developer	Hard skill
Angul	Angular Material	Hard skill
Angula	Angular Material	Hard skill
Angulaire	Angular Material	Hard skill
Angulajs	Angular Js Framework	Hard skill
Angular	Angular Js Framework	Hard skill
Angular Amp	Angular Amp Framework	Hard skill
Angular Amp Nodejs	Angular And Nodejs Framwork	Hard skill
Angular Angular	Angular Js Framework	Hard skill
Angular Angular Js	Angular Js Framework	Hard skill
Angular Backbone	Angular And Backbone Js Framework	Hard skill
Angular Cli	Angular Cli Interface	Hard skill
Angular Command Line Interface	Angular Cli Interface	Hard skill
Angular Command Line Interfaceangular Command Line Interface	Angular Cli Interface	Hard skill
Angular Dart	Angulardart Is A Web Application Framework	Hard skill
Angular E E	Angular Js Framework	Hard skill
Angular Et	Angular Js Framework	Hard skill
Angular Firebase	Angular Firebase	Hard skill
Angular Flex Layout	Angular Flex Layout Library	Hard skill
Angular Framework	Angular Framework	Hard skill
Angular Framwork	Angular Framework	Hard skill
Angular Frontal Web Development	Angular Framework	Hard skill
Angular Ionic	Angular Ionic Framework	Hard skill
Angular J S	Angular Framework	Hard skill
Angular Js	Angular Framework	Hard skill
Angular Js X Ext Js Jquery	Angularjs , Extjs , Jquery Framework	Hard skill
Angular Materia	Angular Material Library	Hard skill
Angular Material	Angular Material Library	Hard skill
Angular Material Design	Angular Material Library	Hard skill
Angular Material Ui	Angular Material Library	Hard skill
Angular Nodejs	Angular And Nodejs Framework	Hard skill
Angular Schematics	Angular Schematics Tools	Hard skill
Angular V	Angular V Framework	Hard skill
Angular Webstorm	Webstorm Ide	Hard skill
Angular X	Angular Framework	Hard skill
Angularc	Angular Framework	Hard skill
Angulardev	Angularjs Developement	Hard skill
Angulare	Angularjs Developement	Hard skill
Angularjs Amp	Angularjs Developement	Hard skill
Angularjs Angular	Angularjs Developement	Hard skill
Angularjs Bootstrap	Bootstrap And Angularjs Developement	Hard skill
Angularjs Foundation Kendo Ui Knockoutjsangularjs Foundation Kendo Ui Knockoutjs	Angularjs Foundation Kendo Ui And Knockoutjs Framework	Hard skill
Angularjs Framework Ionic Framework Phonegap V	Angularjs, Ionic And Phonegap Framework	Hard skill
Angularjs React Js Node Js	Angularjs, Reactjs And Nodejs	Hard skill
Angularmaterial	Angular Material Library	Hard skill
Angularsjs	Angularjs Development	Hard skill
Angularstrap	Angularstrap Directive Specialization	Hard skill
Angularts	Angular Typescript	Hard skill
Animal Behavior	Animal Behavior Specialization	Hard skill
Animal Handling	Animal Handling Expertise	Hard skill
Animal Health	Animal Health Specialization	Hard skill
Animal Models	Animal Models Expertise	Hard skill
A Rabe	Protocol Specialist	Hard skill
Ac Eclipseworkbench	Invention	Hard skill
Access Mysql Oracle	Computer Security Analyst	Hard skill
Achievo	Management	Hard skill
Action On Google Assistant	Ieee	Hard skill
Active Listening	Administrative Work	Hard skill
Active Record	Iso Certified	Hard skill
Actuator Spring	Electronic Component Developer	Hard skill
Ad Hoc Networks	Business Support System	Hard skill
Administrateur Linux Unix	Process Optimization	Hard skill
Administration Ad	Recruiting Specialist	Hard skill
Administration D Aix	Entertainer	Hard skill
Administration De Syste Mes Windows Linuxadministration De Syste Mes Windows Linux	Arabic Scholar	Hard skill
Administration Des Syste Mes	Inclusive Youth Work	Hard skill
Administration Gestion De Donne Es	Revenue Specialist	Hard skill
Administration Hortonworks	Material And Software Architecture Design	Hard skill
Administration Ms Sql	Contract Engineering	Hard skill
Administration Serveur Web	Material And Software Architect	Hard skill
Administration Syste Me Et Re Seauadministration Syste Me Et Re Seau	Advanced Hybrid Frequency Synthesizer Architect	Hard skill
Administration Technique	Vector Illustrator	Hard skill
Admissions	Lotus Domino Administrator	Hard skill
Adobe Indesign Cs	Product Developer	Hard skill
Adobe Robot	Multimedia Technician	Hard skill
Adsorption	Image Processing Engineer	Hard skill
Advanced Hybrid Frequency Synthesizer Architectureadvanced Hybrid Frequency Synthesizer Architecture	Microsoft Exchange Engineer	Hard skill
Advanced Sql	Oracle	Hard skill
Aep Et Assainissement En Milieu Rural	Interfunctional Collaborations	Hard skill
Aeronautics	Sales And Marketing Specialist	Hard skill
African Startups	Creative Solutions	Hard skill
Agile Games	Sage Erp X3 Administrator.	Hard skill
Agile Scrum	Murex Consultant	Hard skill
Agilent Ads	Statistical Data Analyst	Hard skill
Aide Administrative	System Administration	Hard skill
Air Chaud	Crystal And Active Report Design And Development.	Hard skill
Airwatch	Html Css Js Jquery	Hard skill
Alema N	Pool Maintenance And Operations.	Hard skill
Alexa Amazon Api	Certified Information Systems Security Professional	Hard skill
Alloy	Gradients Analyst	Hard skill
Alm Tfset Automatisation De Visual Studio	3D Forward Stratigraphic Modeling	Hard skill
Amae	Jee Developer	Hard skill
Amazon Mws	Encryption Specialist	Hard skill
Anacredit	Spring Restful Web Service	Hard skill
Analisi Di Bilancio	Banking Electronics Specialist	Hard skill
Analyse Causale D	Hyperic Hq	Hard skill
Analyse D Algorithmes	Data Analyst	Hard skill
Analyse Des Donne Es Statistiques	Visual Manager	Hard skill
Analyse Des Fusions Et Acquisitions	Numerical Simulation	Hard skill
Analyser Des Circuits A Semi Conducteur	Algorithm Designer.	Hard skill
Analyste Concepteur	Pl/Sql Developer	Hard skill
Analyste De Donne Es	Extract Transform Load	Hard skill
Analytic Thinking	Mplab Ide	Hard skill
Android Studio	High-End Retoucher	Hard skill
Androidrxjava	Bridal Styling	Hard skill
Ane Mome Trie	Java	Hard skill
Angular	Job Search Advicer	Hard skill
Angular	Apache Storm	Hard skill
Angular	Sense Responsibility Leadership	Hard skill
Angular	Sharepoint Architecture	Hard skill
Angular React Vuejs Typescript Csss Htm	Evaporator Operator	Hard skill
Angularjs	Logo Designer	Hard skill
Animatronics	Supply Chain Manager	Hard skill
Anomaly Detection	Cisco Certified Internetwork Expert Routing And Switching	Hard skill
Ant Design	Microsoft Forefront Identity Manager	Hard skill
Antd	Vmware Disaster Recovery Specialist	Hard skill
Anticorps	Convolutional Neural Networks	Hard skill
Aodv	Tcp/Ip Intranet And Extranet Security	Hard skill
Apache Jmeter	Genymotion	Hard skill
Apache Qpid	Marketing Management Consultant	Hard skill
Apache Storm	Customer Service Training Manager	Hard skill
Api Jpa	Content Manager	Hard skill
Api R	Product Planner	Hard skill
Appel D Offres	Investment Law	Hard skill
Apple Developer	Gerrit	Hard skill
Application Extender	Python Web Developer	Hard skill
Application Servers Tomcat Apache Iis	Collaboration Specialist	Hard skill
Apprentissage Mixte	Business Technologies	Hard skill
Arabe	Fast Restful Api Framework	Hard skill
Arabic Machine Translation	Web Services Api	Hard skill
Architect Si	Building Maintenance	Hard skill
Architecture D Internet Mpls Bgp Xdsl Fftx	Industrial Automation	Hard skill
Architecture Des Re Seaux Mobilesarchitecture Des Re Seaux Mobiles	Hospitality Specialist	Hard skill
Architecture Des Syste Mes De Te Le Communications	Sgdb Microsoft Sql Server	Hard skill
Architecture Des Systemes D Information Securite Reseauarchitecture Des Systemes D Information Securite Reseau	Semiconductor Circuit Analysis	Hard skill
Architecture Management	Managing Information System	Hard skill
Architecture Sharepoint	Geophysics	Hard skill
Architecture Soa	Vmware Workspace One	Hard skill
Architectures Logicielles	Entrepreneurship	Hard skill
Arduino	Spring Developer	Hard skill
Aris Architect	Cisco Software	Hard skill
Arista Eos	Is Auditor	Hard skill
Arm Gcc	Strategic Planning Specialist	Hard skill
Artificial Lift	Coordination Teams Work , Itil , Scrum And Xp Method	Hard skill
Arts Visuels	Oracle Virtual Machine	Hard skill
Aspera	Storeonce	Hard skill
Assembler	Welding Specialist	Hard skill
Assembly Lines	Ci/Cd Engineer	Hard skill
Asset Control	K	Hard skill
Assiduite	Supplementary Reimbursement	Hard skill
Assistance A La Gestion De Projet	Supply Chain Management-Advanced Planner And Optimizer	Hard skill
Assistance A Mai Trise D Oeuvre	Bioinformatics Specialist	Hard skill
Assistance Aux Administrateurs Des Sites	Hadoop Lead	Hard skill
Assistance Maitrise D Ouvrage	It Audit Manager	Hard skill
Atg Dynamo	Marketing Rh	Hard skill
Ational Trade	Real-Time Operating Systems	Hard skill
Attention To Detail	End Mill	Hard skill
Attestation Amdec	Ibm Spectrum Control	Hard skill
Audience Measurement	Sap R/3	Hard skill
Audit Energetique	Atlassian Confluence	Hard skill
Audit Laboratoire	Sap Fico Manager	Hard skill
Audit Se Curite Informatique	Continuous Testing	Hard skill
Audit Social	Tca Interface	Hard skill
Auditeur Interne Iso	Unix Security Specialist	Hard skill
Autocadautocad	Washing Machine Operator	Hard skill
Autodesk Flame	Voip Technician	Hard skill
Autodesk Inventore	Systems Administrator	Hard skill
Autodesk Motionbuilder	Pipeflow	Hard skill
Autofluid	Binaural Audio Source Spatialization	Hard skill
Automate Programmable Industriel	Documentary Update	Hard skill
Automated Teller Machine	Risk Evaluation	Hard skill
Automates Programmables	Sql Server , Mysql , Oracle	Hard skill
Automatics	Master Planning	Hard skill
Automonie	Partslink	Hard skill
Automotive Security And Pentesting	Angular	Hard skill
Avant Vente	Software Development Specialist	Hard skill
Aviation Standards Specialist	Software Integration Specialist	Hard skill
Avis Clients	Sales Presentation	Hard skill
Avontuurreizen	Hibernate Jpa Maven	Hard skill
Azure Devops	Arduino Programmer	Hard skill
Backend Dev	Cartoonist	Hard skill
Background Checks	Anomaly Detection	Hard skill
Backup	Protein Purification	Hard skill
Balance Sheet	Postgresql Database Administrator	Hard skill
Balsamic	Soc Encounter	Hard skill
Bank	Electric Power Specialist	Hard skill
Barracuda Engineer	Sales Analyst	Hard skill
Bases Des Donne Es Oracl E G Mysql Conception Uml Merise Et Merise Bases Des Donne Es Oracl E G Mysql Conception Uml Merise Et Merise	Samba (Software)	Hard skill
Bases Ontologiques Prote Ge Owl Swrl Pelletbases Ontologiques Prote Ge Owl Swrl Pellet	European Studies	Hard skill
Basin Analysis	Regular Expression	Hard skill
Basketball	Pcb Layout Designer	Hard skill
Bid Strategy	Unix/Linux Systems Engineer	Hard skill
Bid Writing	Servers Operating Systems Dns Dhcp System Administration	Hard skill
Big Dat	Oracle Database Administration	Hard skill
Big Data Specialist	Security Information And Event Management	Hard skill
Big Picture Thinking	Customer Specialist	Hard skill
Bigdata Syste Me De Cisionnel	Power Bi	Hard skill
Binary Explotation	Fpso	Hard skill
Binaural Audio Source Spatialization	Sap Bw Developer	Hard skill
Bio Informatique	Devexpress Asp.Net Controls	Hard skill
Biological Invasions	Background Checks	Hard skill
Biomasse	Sam	Hard skill
Bitcoin	Sap Softwares Mm Wm Ewm Pp Sd Tm	Hard skill
Black Beagle Bone	Brand Manager	Hard skill
Blue Team	Ngx	Hard skill
Bonne Expe Rience En Syste Mes D Informationsbonne Expe Rience En Syste Mes D Informations	Component Interface Testing	Hard skill
Book Design	Algorithm Engineer	Hard skill
Bootsstrap	Infrastructure Deployment Integration Networks	Hard skill
Bootstrap	Iot Lora	Hard skill
Botany	Jcolibri	Hard skill
Bottle	Environmental Economics	Hard skill
Bourse De Commerce	Security Certified	Hard skill
Branch Management	Numerical Investigator	Hard skill
Brazilian Portuguese	Information Systems Architect	Hard skill
Brio Reporting	Pharmacy Benefit Management	Hard skill
Broadband Access	Web Application Firewall	Hard skill
Broadsoft	Pre-Sale Support	Hard skill
Browsers	Print Design Manager	Hard skill
Browsify	Solution Focused	Hard skill
Bscs Ix R	Agile Software Development	Hard skill
Build Strong Relationships	Apache Ant Design	Hard skill
Bureau De Gestion De Projet	Platform Specialist	Hard skill
Business Case Preparation	Design And Synthesis Of Economic Indices	Hard skill
Business Ethics	Google Adwords Campaign	Hard skill
Business It Alignment	Platinum Relationship Manager	Hard skill
Business Process Model And Notation	Musical Instrument Digital Interface ( Midi )	Hard skill
Business Reference	Uml Tool	Hard skill
Business Scoping	Sap Pi Developer	Hard skill
Business Support System	Remote Sensing Software Programer	Hard skill
C	Professor Of French	Hard skill
C	Construction Site Supervisor	Hard skill
C Asp Net Bi Java Jee Php Symfony Android Sharepoint Cisco Linux	Lansa	Hard skill
C Em	Sales Metrics	Hard skill
Cad Vision	Cultural Diversity	Hard skill
Cadre D Entite	Wired Communications	Hard skill
Cain Amp Abel	Itil V3 Foundations Certified	Hard skill
Calcolo Parallelo	Apple Developer	Hard skill
Cambam	Microsoft Business Intelligence Developer	Hard skill
Campagne Adwords	Audio Signal Processing	Hard skill
Can Controller Area Network	Decision-Making Methods Applied Security	Hard skill
Capel Code	Well-Architected	Hard skill
Capteurs Et Re Seaux Locaux Industrielles	Mangopay Api	Hard skill
Caracte Risations Ele Ctrothermiques Des Composants De Puissance	Msp Specialist	Hard skill
Cardiovascular Training	Multichannel Distribution	Hard skill
Caret	Angular	Hard skill
Cartooning	Cisco Certified Entry Networking Technician	Hard skill
Case Managment	Seahorse	Hard skill
Casting	Aeronautics	Hard skill
Cc	Rt-Acv	Hard skill
Ccan	Big Picture Thinking	Hard skill
Ccie R Amp S	Key Account Developer	Hard skill
Ccna	Keras	Hard skill
Ccna R Amp S	Logic Synthesis	Hard skill
Ccsk	Environmental Risk Assessment	Hard skill
Ccstudio	Password Policy	Hard skill
Cd Ci	Particle Effects	Hard skill
Center Of Excellence	Maplex	Hard skill
Centos	Object-Relational Mapping	Hard skill
Certificate In Personal Strategic Planning	Ecosystem Management	Hard skill
Certification Ccna	Mpls Vpn	Hard skill
Certification Ccna Amp	Microsoft Lync Servers	Hard skill
Certification Cism	Surfer	Hard skill
Certification De Personnes	Press Manager	Hard skill
Certification Iso	Certification Specialist	Hard skill
Certification Itil V Foundations	Industrial Design Manager	Hard skill
Certifie Expert Auditeur Ansi	Microcontroller Programming	Hard skill
Certified Anti Money Laundering	Api Manager	Hard skill
Chabot	It Leadership	Hard skill
Changement Climatique	Magazine Designer	Hard skill
Chart And Graph Analysis	Activiti Bpm	Hard skill
Chasseur De Te Te	Policy Development	Hard skill
China	Case Management Specialist	Hard skill
Choix Fournisseurs	Aodv	Hard skill
Circleci	Radio Frequency Manager	Hard skill
Ciros Robotics De Festo	Alloy	Hard skill
Cisco Acl	Alm Tfset Visual Studio Automation	Hard skill
Cisco Axl Api	Outdoor Specialist	Hard skill
Cisco Packet Tracer Step Cisco Packet Tracer Step	Segmentation Analysis	Hard skill
Cissp	Data Collection And Analysis	Hard skill
Citrix Xen Server	Image Processing	Hard skill
Civil Engineering Design	Web Services Interoperability	Hard skill
Client Relations Skills	Data Infrastructure Engineer	Hard skill
Client Service	Sap Netweaver Consultant	Hard skill
Closing Contracts	Dynamic Host Configuration Protocol (Dhcp)	Hard skill
Cloud Administration	Cardiovascular Rehabilitation Techniques	Hard skill
Cloud Azure	Angular	Hard skill
Cloud Computing Principles	Instagram Marketing	Hard skill
Cloud Prive	Sql/Dql/Nosql	Hard skill
Coach Staff	Mechanics	Hard skill
Coachnig Agile	Well-Traveled	Hard skill
Coap	Multi-Channel Sales Associate	Hard skill
Cob Support	Ni Labwindows	Hard skill
Codage De L Information	Storenvy	Hard skill
Codage Front End	Dc.Js	Hard skill
Code Excellence	Human Resources/Payroll Specialist	Hard skill
Cognito	Fire Safety / Evacuation Plan / Internal Organization Plan	Hard skill
Collaboration	Electrothermal Characterization Power Components	Hard skill
Collaboration Entre E Quipes	Random Models Actuarial Science Finance	Hard skill
Collaborations Interfonctionnelles	Sap Bods Developer	Hard skill
Collaborer Pour Un Projet Informatique Re Alise En Groupecollaborer Pour Un Projet Informatique Re Alise En Groupe	Ftp Security	Hard skill
Comet	Rapid Learning	Hard skill
Commandes Adb	Microsoft Office Accounting	Hard skill
Commercial Insurance	Modelsim	Hard skill
Commercialisationde Services It	Supplier Evaluation	Hard skill
Common Sense	Animatronics	Hard skill
Communication Avec Les Clients	Murex Consultant	Hard skill
Communication De Crise	Eaglesoft	Hard skill
Communication Ecrite	Siemens Step	Hard skill
Communication Ge Ne Rale De L Entreprise	Commercials Tele-Com Processes	Hard skill
Communication Multi Canaux	Ensp Huawei	Hard skill
Communications Audits	Threat Assessment	Hard skill
Commutation De Paquets	Cable Sizing	Hard skill
Comparative Analysis	Family Business	Hard skill
Compe Tences Informatiquescompe Tences Informatiques	Quality Management System Manager	Hard skill
Compiler Optimization	Wireless Sensor Networks	Hard skill
Complex Analysis	Log Interpretation	Hard skill
Complexity Reduction	Ethernet In Vehicle	Hard skill
Component Interface Testing	Project Manager	Hard skill
Compre Hension Des Fondements Et Principes Fondamentaux De L Informatique	Dimensioning	Hard skill
Computer Systems Security Protocols	Ccan	Hard skill
Comscore Adobe Digital Analytix	Black White Photography	Hard skill
Conception Amp Synthe Se Des Indices E Conomiques	Language Programming Mastery	Hard skill
Conception Avance En Langage De Description Mate Riel Vhdlconception Avance En Langage De Description Mate Riel Vhdl	Ibm Hacmp	Hard skill
Conception D Algorithmes	Oracle Olap	Hard skill
Conception D Architecture Materielles Et Logicielles Sur Fpgaconception D Architecture Materielles Et Logicielles Sur Fpga	Skin Specialist	Hard skill
Conception De Tests	Chatbot	Hard skill
Conception Des Syte Mes D Information	Infant Researcher	Hard skill
Conception Et Cre Ations Des Supports De Communication	Logiciel Molpro	Hard skill
Conception Et Re Alisation De Logiciel Me Tier De Transport	Analytical Thinking	Hard skill
Conception Ftth Ftta	Artificial Lift	Hard skill
Conception Industrielle	Fuelphp	Hard skill
Config Atm Devices	Zottaos	Hard skill
Confluence	Learning Design Specialist	Hard skill
Connaissance Du Sgbd Postgresql	Smslib	Hard skill
Connaissansances Du Milieu Hospitalier	Textiles	Hard skill
Connected Objects	Web Development Specialist	Hard skill
Connectivity Solutions	Food Science	Hard skill
Connectwise	Red Hat Satellite	Hard skill
Conseil En E Volution Professionnelle	Storytelling	Hard skill
Conseiller La Hie Rarchie Sur Les Choix Techniques Et Organisationnelsconseiller La Hie Rarchie Sur Les Choix Techniques Et Organisationnels	Unix Commands	Hard skill
Consolidation Of Financial Statements	Php Natif	Hard skill
Consultante En Recrutement	Parallel Computing	Hard skill
Content Management	Interviewing Skills	Hard skill
Continous Testing	Mathematics Teaching Assistant	Hard skill
Continuous Monitoring	Neuroprosthetics	Hard skill
Contract Engineering	Esl Teaching	Hard skill
Contro Le De La Qos	Datacore	Hard skill
Controllership	Manual Testing	Hard skill
Controlling Workplace Hazards	Bid Specialist	Hard skill
Coordination D E Quipes Et Travaux Me Thode Itil Scrum Xp	Social Networking	Hard skill
Core Model	Transmission Specialist	Hard skill
Core Spring	Fixed-Wing Aircraft	Hard skill
Corporate Finance	Turbo Pascal	Hard skill
Corporate Governance	Swat Inventory Specialist	Hard skill
Cortana Analytics	Enterprise Sales	Hard skill
Cosmology	Google+	Hard skill
Cpanel	Sublime Text Editor	Hard skill
Cppunit	Product Marketing	Hard skill
Cqrs	Blended Learning	Hard skill
Crashlytics	Prestashop	Hard skill
Cre Ation De Rapp	United Retail	Hard skill
Cre Ation Traitement Et Analyse De Bases De Donne Es Avance Es Cre Ation Traitement Et Analyse De Bases De Donne Es Avance Es	Training Manager	Hard skill
Creative Coding	Mobile Internet	Hard skill
Creative Content Creation	K-Means Clustering	Hard skill
Creative Solutions	Comet Programming	Hard skill
Creative Writing	Initiative Project Leader	Hard skill
Critical Reading	Software Development Specialist	Hard skill
Critical Thinking	Human Resources Information Systems Manager	Hard skill
Cross Browser Compatibility	Stock Exchange	Hard skill
Crystal Report Active Report And Others	Head Of Financial Planning And Analysis	Hard skill
Crystal Reports V	Connectivity Specialist	Hard skill
Cshtml	Web Browsers	Hard skill
Cspro	Real-Time Operating Systems	Hard skill
Css	Microsystems Analyst	Hard skill
Cuda	Azure Devops	Hard skill
Cultural Sensitivity	Fortinac	Hard skill
Cumulus Network	Project Management Specialist	Hard skill
Custom Facebook Pages	Hibernate Query Language	Hard skill
Customer Care	Hadoop Installation	Hard skill
Customer Demos	Protocol Specialist	Hard skill
Customer Enabling	Data Security Specialist	Hard skill
Cx Clariion	Audience Measurement	Hard skill
Cyber	Visual Arts Specialist	Hard skill
Cyber Security And Defense Techniques And Protocolscyber Security And Defense Techniques And Protocols	Installation Deployment Officer	Hard skill
Cyber Security Management	Information Systems Architecture	Hard skill
Cyberlaw	Network Management Hp Openview Wireshark Architecture Snmp	Hard skill
Cycle De Kolb	Active Directory Engineer	Hard skill
Cyclepad	Economy	Hard skill
D Computer Aided Design	Feedback Control	Hard skill
D Game Developpement	International English Communication	Hard skill
D Model Analysis	Government Specialist	Hard skill
Dad Jokes	Javascript Frameworks ( Vue.Js , Angular )	Hard skill
Darknet	Web Services ( Soap/Restful )	Hard skill
Data Analysis Machine Learnin	Gesture Recognition	Hard skill
Data Anonymisation	Application Servers ( Tomcat , Apache , Iis )	Hard skill
Data Cleaning	Strategic Business Unit Manager	Hard skill
Data Collection And Analysis	Amazon Web Services	Hard skill
Data Lakes	Mastery Programming Languages	Hard skill
Data Mananagement	Backup Partitioning	Hard skill
Data Ming	Lead Front End Developer	Hard skill
Data Security	Windows Server Backup Management	Hard skill
Data Storytelling	Systems Integration Specialist	Hard skill
Data Transfer	Vhsic Hardware Description Language (Vhdl)	Hard skill
Database Administration	Leadership Development	Hard skill
Database Driven Web Applications	Electronic Medical Record	Hard skill
Database Knowledge	Tibco Designer	Hard skill
Database Management Systems	Inap	Hard skill
Datacore	Adventure Specialist	Hard skill
Datalog	Domain Management	Hard skill
Dataminer	Static Routing Protocols Ripv Ripv Eigrp Ospf	Hard skill
Dba Oracle G	Internal Combustion Engines	Hard skill
Dc Dc	Workflow Definition	Hard skill
De Butant Joomla	Master Data Management	Hard skill
De Coupage Psd To Html Css Js	Lan/Wan Switching , Voip Networks Technologies	Hard skill
De Termination Des Zones Sensibles A L E Rosion Par Analyse Spatiale De Termination Des Zones Sensibles A L E Rosion Par Analyse Spatiale	Plc Technician	Hard skill
De Veloppement C	Arabic Scholar	Hard skill
De Veloppement C C	Cardiovascular Specialist	Hard skill
De Veloppement D Applications Agiles	Transformer Design	Hard skill
De Veloppement De Logiciel	Hot Air	Hard skill
De Veloppement De Me Thodes Analytiques	Ros ( Robotic Operating System )	Hard skill
De Veloppement Des Applications Geospatial	Cobol Programmer	Hard skill
De Veloppement Des Communaute S	Devops Specialist	Hard skill
De Veloppement Mobile Niveau Expert Android Niveau Moyen Ios Windows Phone	Teamwork Results-Oriented	Hard skill
De Veloppement Produit	Material-Ui	Hard skill
De Veloppeur Font End	Sales Coordination Manager	Hard skill
De Veloppeur Php	Cisco Packet Tracer Step-By-Step	Hard skill
Delphi	Project Evaluation	Hard skill
Delta	Network Forensics	Hard skill
Deployment Planning	Sap Crm C/C++ Embedded Windows Ce Windows Server Oracle Db Teradata Sql	Hard skill
Deployment Script	Computer-Aided Software Engineering	Hard skill
Design Amp Detail Automation For Dcs Plc Systems And Other Interfaces	Storage And Virtualization Engineer	Hard skill
Design Logos	Apache Struts	Hard skill
Design Plumbing Systems	Forecasted Management Of Jobs And Competencies	Hard skill
Design Research	Event Marketing	Hard skill
Designing Learning	Sap Hana Developer	Hard skill
Designsync	Routing And Switching Protocols	Hard skill
Dev Ops	Modeling And Simulation Flows	Hard skill
Developpement Java J Ee Framework Mvc	Smart Tv	Hard skill
Developpement Sur Samsung Smart Tv	Cisco Certified Network Associate Routing And Switching	Hard skill
Developpeur Salesforce	Action Plan Recommendations Years	Hard skill
Devexpress Asp Net Controls	Web Research	Hard skill
Dhcpv	Etl Odi	Hard skill
Diabetic Neuropathy	Medical Physics	Hard skill
Diagnostic Rh	Cellular Networks Gsm Gprs Umts G/G	Hard skill
Diagnostics	Autocad Specialist	Hard skill
Diagnostique Equipement Medicaux	Physical Data Model	Hard skill
